taxonKey	scientificName	acceptedTaxonKey	acceptedScientificName	numberOfOccurrences	taxonRank	taxonomicStatus	kingdom	kingdomKey	phylum	phylumKey	class	classKey	order	orderKey	family	familyKey	genus	genusKey	species	speciesKey	iucnRedListCategory
1445	Psittaciformes	1445	Psittaciformes	3	ORDER	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Psittaciformes	1445							
1427706	Lathrecista asiatica Fabricius, 1798	1427706	Lathrecista asiatica Fabricius, 1798	1	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Odonata	789	Libellulidae	5936	Lathrecista	1427705	Lathrecista asiatica	1427706	LC
1429611	Hemicordulia continentalis Martin, 1907	1429611	Hemicordulia continentalis Martin, 1907	29	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Odonata	789	Corduliidae	7009	Hemicordulia	1429610	Hemicordulia continentalis	1429611	LC
1683581	Ozphyllum naskreckii Rentz, Su & Ueshima, 2007	1683581	Ozphyllum naskreckii Rentz, Su & Ueshima, 2007	7	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Orthoptera	1458	Tettigoniidae	3991	Ozphyllum	1683580	Ozphyllum naskreckii	1683581	NE
1790910	Corgatha figuralis Walker, 1865	1790910	Corgatha figuralis Walker, 1865	4	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Lepidoptera	797	Erebidae	4532185	Corgatha	1790850	Corgatha figuralis	1790910	NE
1825956	Ortholomia moluccana Felder, 1861	1825956	Ortholomia moluccana Felder, 1861	1	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Lepidoptera	797	Notodontidae	7016	Ortholomia	1825951	Ortholomia moluccana	1825956	NE
1838084	Telecrates laetiorella (Walker, 1864)	1838084	Telecrates laetiorella (Walker, 1864)	3	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Lepidoptera	797	Xyloryctidae	4300662	Telecrates	1838074	Telecrates laetiorella	1838084	NE
1909436	Hypocysta irius Fabricius, 1775	1909436	Hypocysta irius Fabricius, 1775	5	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Lepidoptera	797	Nymphalidae	7017	Hypocysta	1909428	Hypocysta irius	1909436	NE
1955438	Amelora zophopasta Turner, 1919	1955438	Amelora zophopasta Turner, 1919	2	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Lepidoptera	797	Geometridae	6950	Amelora	11541264	Amelora zophopasta	1955438	NE
1972903	Cyneoterpna wilsoni (Felder & Rogenhofer, 1875)	1972903	Cyneoterpna wilsoni (Felder & Rogenhofer, 1875)	10	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Lepidoptera	797	Geometridae	6950	Cyneoterpna	1972901	Cyneoterpna wilsoni	1972903	NE
2101268	Bandidus breviusculus (Gerstaecker, 1885)	2101268	Bandidus breviusculus (Gerstaecker, 1885)	2	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Neuroptera	1501	Myrmeleontidae	5471	Bandidus	2101251	Bandidus breviusculus	2101268	NE
2289202	Nautilus pompilius Linnaeus, 1758	2289202	Nautilus pompilius Linnaeus, 1758	1	SPECIES	ACCEPTED	Animalia	1	Mollusca	52	Cephalopoda	136	Nautilida	460	Nautilidae	6840	Nautilus	2289060	Nautilus pompilius	2289202	NE
2335252	Gymnapistes marmoratus (Cuvier, 1829)	2335252	Gymnapistes marmoratus (Cuvier, 1829)	7	SPECIES	ACCEPTED	Animalia	1	Chordata	44			Scorpaeniformes	590	Tetrarogidae	8634	Gymnapistes	2335251	Gymnapistes marmoratus	2335252	NE
2374394	Pempheris multiradiata Klunzinger, 1879	2374394	Pempheris multiradiata Klunzinger, 1879	22	SPECIES	ACCEPTED	Animalia	1	Chordata	44			Perciformes	587	Pempheridae	8573	Pempheris	2374368	Pempheris multiradiata	2374394	NE
2380400	Nannoperca australis Günther, 1861	2380400	Nannoperca australis Günther, 1861	2	SPECIES	ACCEPTED	Animalia	1	Chordata	44			Perciformes	587	Percichthyidae	8574	Nannoperca	2380396	Nannoperca australis	2380400	NT
2383017	Choerodon rubescens (Günther, 1862)	2383017	Choerodon rubescens (Günther, 1862)	4	SPECIES	ACCEPTED	Animalia	1	Chordata	44			Perciformes	587	Labridae	8535	Choerodon	2382951	Choerodon rubescens	2383017	LC
2408024	Capropygia unistriata (Kaup, 1855)	2408024	Capropygia unistriata (Kaup, 1855)	1	SPECIES	ACCEPTED	Animalia	1	Chordata	44			Tetraodontiformes	772	Aracanidae	5900	Capropygia	2408023	Capropygia unistriata	2408024	LC
2412583	Sardinops sagax (Jenyns, 1842)	2412583	Sardinops sagax (Jenyns, 1842)	2	SPECIES	ACCEPTED	Animalia	1	Chordata	44			Clupeiformes	538	Clupeidae	7332	Sardinops	2412582	Sardinops sagax	2412583	LC
2979292	Acacia verticillata (L'Hér.) Willd.	2979292	Acacia verticillata (L'Hér.) Willd.	20	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Fabales	1370	Fabaceae	5386	Acacia	2978223	Acacia verticillata	2979292	LC
3169707	Vinca minor L.	3169707	Vinca minor L.	1	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Gentianales	412	Apocynaceae	6701	Vinca	3169706	Vinca minor	3169707	NE
