taxonKey	scientificName	acceptedTaxonKey	acceptedScientificName	numberOfOccurrences	taxonRank	taxonomicStatus	kingdom	kingdomKey	phylum	phylumKey	class	classKey	order	orderKey	family	familyKey	genus	genusKey	species	speciesKey	iucnRedListCategory
2390	Scrophulariaceae	2390	Scrophulariaceae	1	FAMILY	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Lamiales	408	Scrophulariaceae	2390					NE
4334	Apidae	4334	Apidae	1	FAMILY	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Hymenoptera	1457	Apidae	4334					NE
1427393	Polythore picta Rambur, 1842	1427393	Polythore picta Rambur, 1842	1	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Odonata	789	Polythoridae	9404	Polythore	1427392	Polythore picta	1427393	LC
1427618	Micrathyria catenata Calvert, 1909	1427618	Micrathyria catenata Calvert, 1909	1	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Odonata	789	Libellulidae	5936	Micrathyria	1427605	Micrathyria catenata	1427618	LC
1543058	Platycheirus chalconota (Philippi, 1865)	1543058	Platycheirus chalconota (Philippi, 1865)	1	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Diptera	811	Syrphidae	6920	Platycheirus	1542996	Platycheirus chalconota	1543058	NE
1622178	Rachiptera limbata Bigot, 1859	1622178	Rachiptera limbata Bigot, 1859	2	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Diptera	811	Tephritidae	3520	Rachiptera	1622175	Rachiptera limbata	1622178	NE
1794796	Antiblemma juruana Butler, 1879	1794639	Antiblemma acclinalis Hübner, 1823	1	SPECIES	SYNONYM	Animalia	1	Arthropoda	54	Insecta	216	Lepidoptera	797	Erebidae	4532185	Antiblemma	1794630	Antiblemma acclinalis	1794639	NE
2357064	Myripristis jacobus Cuvier, 1829	2357064	Myripristis jacobus Cuvier, 1829	17	SPECIES	ACCEPTED	Animalia	1	Chordata	44			Beryciformes	499	Holocentridae	7195	Myripristis	2356983	Myripristis jacobus	2357064	LC
2388866	Cephalopholis cruentata (Lacepède, 1802)	2388866	Cephalopholis cruentata (Lacepède, 1802)	28	SPECIES	ACCEPTED	Animalia	1	Chordata	44			Perciformes	587	Serranidae	8597	Cephalopholis	2388808	Cephalopholis cruentata	2388866	LC
2450823	Alopoglossus atriventris Duellman, 1973	2450823	Alopoglossus atriventris Duellman, 1973	1	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Squamata	11592253			Alopoglossidae	9458302	Alopoglossus	2450816	Alopoglossus atriventris	2450823	LC
