taxonKey	scientificName	acceptedTaxonKey	acceptedScientificName	numberOfOccurrences	taxonRank	taxonomicStatus	kingdom	kingdomKey	phylum	phylumKey	class	classKey	order	orderKey	family	familyKey	genus	genusKey	species	speciesKey	iucnRedListCategory
1541245	Eristalis jugorum Egger, 1858	11111454	Eoseristalis jugorum (Egger, 1858)	3	SPECIES	SYNONYM	Animalia	1	Arthropoda	54	Insecta	216	Diptera	811	Syrphidae	6920	Eoseristalis	1539320	Eoseristalis jugorum	11111454	NE
1862837	Hyles gallii von Rottemburg, 1775	1862837	Hyles gallii von Rottemburg, 1775	14	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Lepidoptera	797	Sphingidae	8868	Hyles	1862681	Hyles gallii	1862837	NE
2532379	Clitocybe flaccida (Sowerby) P.Kumm.	7978027	Paralepista flaccida (Sowerby) Vizzini	2	SPECIES	SYNONYM	Fungi	5	Basidiomycota	34	Agaricomycetes	186	Agaricales	1499	Tricholomataceae	8787	Paralepista	7242367	Paralepista flaccida	7978027	NE
2703252	Sieglingia decumbens (L.) Bernh.	2703250	Danthonia decumbens (L.) DC.	7	SPECIES	SYNONYM	Plantae	6	Tracheophyta	7707728	Liliopsida	196	Poales	1369	Poaceae	3073	Danthonia	2703248	Danthonia decumbens	2703250	NE
2768817	Asparagus tenuifolius Lam.	2768817	Asparagus tenuifolius Lam.	1	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Liliopsida	196	Asparagales	1169	Asparagaceae	7683	Asparagus	9527393	Asparagus tenuifolius	2768817	LC
2888292	Pyrola media Sw.	2888292	Pyrola media Sw.	4	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Ericales	1353	Ericaceae	2505	Pyrola	2888249	Pyrola media	2888292	NE
3036033	Hedera colchica (K.Koch) K.Koch	3036033	Hedera colchica (K.Koch) K.Koch	1	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Apiales	1351	Araliaceae	8800	Hedera	3036021	Hedera colchica	3036033	NE
3128652	Centaurea sarandinakiae N.B.Illar.	3128652	Centaurea sarandinakiae N.B.Illar.	7	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Asterales	414	Asteraceae	3065	Centaurea	3127469	Centaurea sarandinakiae	3128652	NE
3169707	Vinca minor L.	3169707	Vinca minor L.	270	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Gentianales	412	Apocynaceae	6701	Vinca	3169706	Vinca minor	3169707	NE
3810727	Dianthus membranaceus Borbás	3810727	Dianthus membranaceus Borbás	15	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Caryophyllales	422	Caryophyllaceae	2518	Dianthus	3085411	Dianthus membranaceus	3810727	NE
4107443	Elymus panormitanus (Parl.) Tzvelev	4107443	Elymus panormitanus (Parl.) Tzvelev	2	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Liliopsida	196	Poales	1369	Poaceae	3073	Elymus	10465436	Elymus panormitanus	4107443	NE
4522970	Boudinotiana notha (Hübner, 1803)	8329661	Archiearis notha (Hübner)	1	SPECIES	SYNONYM	Animalia	1	Arthropoda	54	Insecta	216	Lepidoptera	797	Geometridae	6950	Archiearis	1975729	Archiearis notha	8329661	NE
5126680	Anania verbascalis (Denis & Schiffermüller), 1775	5126680	Anania verbascalis (Denis & Schiffermüller), 1775	4	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Lepidoptera	797	Crambidae	8841	Anania	7739898	Anania verbascalis	5126680	NE
5319049	Epipactis leptochila (Godfery) Godfery	5319049	Epipactis leptochila (Godfery) Godfery	4	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Liliopsida	196	Asparagales	1169	Orchidaceae	7689	Epipactis	8254469	Epipactis leptochila	5319049	LC
5330629	Arum elongatum Steven	5330607	Arum orientale subsp. orientale	60	SPECIES	SYNONYM	Plantae	6	Tracheophyta	7707728	Liliopsida	196	Alismatales	551	Araceae	6979	Arum	2869757	Arum orientale	5330604	NE
5372457	Paliurus spina-christi Mill.	5372457	Paliurus spina-christi Mill.	106	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Rosales	691	Rhamnaceae	2407	Paliurus	3039502	Paliurus spina-christi	5372457	NE
5393120	Arctium ×mixtum (Simonk.) Nyman	5393120	Arctium ×mixtum (Simonk.) Nyman	7	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Asterales	414	Asteraceae	3065	Arctium	8106066	Arctium mixtum	5393120	NE
5406789	Alcea rosea L.	5406789	Alcea rosea L.	41	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Malvales	941	Malvaceae	6685	Alcea	5406788	Alcea rosea	5406789	NE
5588222	Silene eugeniae Kleopow	5588222	Silene eugeniae Kleopow	4	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Caryophyllales	422	Caryophyllaceae	2518	Silene	3085897	Silene eugeniae	5588222	NE
5978458	Panzeria puparum (Fabricius, 1794)	5978458	Panzeria puparum (Fabricius, 1794)	3	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Diptera	811	Tachinidae	6918	Panzeria	1471955	Panzeria puparum	5978458	NE
6097094	Dolerus germanicus (Fabricius, 1775)	6097094	Dolerus germanicus (Fabricius, 1775)	1	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Hymenoptera	1457	Tenthredinidae	7918	Dolerus	7657055	Dolerus germanicus	6097094	NE
7845022	Gymnadenia conopsea (L.) R.Br.	7845022	Gymnadenia conopsea (L.) R.Br.	41	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Liliopsida	196	Asparagales	1169	Orchidaceae	7689	Gymnadenia	7771219	Gymnadenia conopsea	7845022	NE
8385026	Osmoderma barnabita Motschulsky, 1845	8385026	Osmoderma barnabita Motschulsky, 1845	5	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Coleoptera	1470	Scarabaeidae	5840	Osmoderma	1079587	Osmoderma barnabita	8385026	NT
